1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd
1224,0.0,2.0,No,883,GLQ,341,0.0,402,Fin,1999.0,1224,TA,4500,66.0,304,5,6,1224,1999,1999
1337,0.0,2.0,No,1201,GLQ,36,0.0,405,Fin,1998.0,1337,TA,4500,32.0,199,5,6,1237,1998,1998
1229,0.0,3.0,No,1059,ALQ,75,0.0,284,RFn,1956.0,1229,TA,17140,66.0,0,6,4,1134,1956,1956
990,0.0,3.0,No,686,GLQ,304,0.0,672,Unf,1996.0,990,TA,9245,57.0,0,5,5,990,1994,1995
774,456.0,3.0,No,384,ALQ,363,0.0,305,Unf,1946.0,1230,TA,4712,51.0,57,7,4,747,1946,1950
1350,0.0,3.0,Gd,624,GLQ,288,0.0,520,RFn,1964.0,1350,TA,9020,82.0,0,5,6,1248,1964,1964
1040,0.0,3.0,Gd,633,ALQ,431,0.0,648,Unf,1963.0,1040,TA,25286,94.0,0,5,4,1064,1963,1963
1092,0.0,3.0,No,170,LwQ,252,0.0,288,Unf,1962.0,1092,TA,11616,66.0,20,5,5,1092,1962,1962
912,0.0,2.0,No,456,Rec,456,0.0,275,RFn,1958.0,912,TA,10150,70.0,0,5,5,912,1958,1958
1096,895.0,3.0,Mn,297,Rec,0,0.0,432,Unf,1977.0,1991,TA,11275,66.0,0,7,6,854,1932,1950
1541,0.0,3.0,Mn,1201,Unf,340,0.0,532,Unf,2005.0,1541,Gd,12182,95.0,70,5,7,1541,2005,2005
920,941.0,3.0,No,700,GLQ,216,0.0,492,RFn,2002.0,1861,Gd,13450,95.0,91,5,7,916,2002,2002
334,0.0,1.0,None,0,None,0,0.0,0,None,1982.5,334,Fa,5000,50.0,0,3,1,0,1946,1950
988,517.0,3.0,No,399,Rec,484,0.0,240,Unf,1940.0,1505,TA,9144,66.0,0,5,5,883,1940,1982
1040,0.0,2.0,None,0,None,0,0.0,400,Unf,1949.0,1040,TA,8544,66.0,0,4,3,0,1949,1950
876,540.0,4.0,Mn,0,Unf,876,0.0,720,Unf,1949.0,1416,TA,12665,100.0,0,8,5,876,1915,1950
755,755.0,4.0,Mn,0,Unf,755,0.0,296,Unf,1940.0,1510,TA,9084,60.0,0,5,4,755,1940,1950
847,1081.0,4.0,No,0,Unf,847,0.0,434,Fin,2003.0,1928,Gd,8200,65.0,48,5,7,847,2003,2004
1320,1320.0,4.0,No,0,Unf,1240,0.0,864,Unf,1950.0,2640,Gd,11700,65.0,0,7,7,1240,1880,2003
1132,0.0,2.0,No,1024,GLQ,108,0.0,451,Fin,2005.0,1132,Gd,7024,60.0,64,5,4,1132,2005,2005
802,670.0,3.0,No,0,Unf,384,0.0,402,RFn,1991.0,1472,Gd,10784,66.0,0,5,7,384,1991,1992
866,902.0,3.0,Av,20,GLQ,846,0.0,578,RFn,2007.0,1768,Gd,10769,68.0,105,5,8,866,2007,2007
1622,0.0,3.0,Av,1159,BLQ,90,0.0,1356,Fin,1975.0,1622,TA,32463,66.0,0,4,4,1249,1961,1975
1811,0.0,2.0,No,296,ALQ,230,0.0,470,Fin,1956.0,1811,Ex,14115,90.0,0,7,6,1073,1956,2004
1012,778.0,4.0,No,247,Rec,485,0.0,484,RFn,1972.0,1790,TA,10400,80.0,0,5,6,732,1972,1972
1040,0.0,2.0,None,0,Unf,0,0.0,420,Unf,1950.0,1040,TA,7200,60.0,29,5,4,0,1950,1950
1008,0.0,4.0,No,0,Unf,1008,138.0,0,None,1982.5,1522,TA,6000,60.0,0,5,5,1008,1926,1950
1225,0.0,3.0,No,569,ALQ,381,0.0,0,None,1982.5,1225,TA,9320,77.0,0,5,4,950,1959,1959
889,551.0,3.0,No,0,Unf,540,0.0,352,Unf,1940.0,1440,TA,5000,63.0,0,4,5,540,1900,1950
2046,0.0,3.0,Mn,0,Unf,2046,0.0,834,Fin,2008.0,2046,Gd,11844,80.0,82,5,8,2046,2008,2008
1484,0.0,3.0,Av,712,GLQ,761,0.0,606,RFn,2004.0,1484,Gd,8400,70.0,35,5,7,1473,2004,2005
971,0.0,3.0,Gd,523,Unf,448,0.0,300,Unf,1969.0,971,TA,9920,69.0,0,6,5,971,1969,1969
833,0.0,3.0,No,625,Unf,208,0.0,0,None,1982.5,833,TA,8780,66.0,0,5,5,833,1985,1985
1500,0.0,3.0,Av,1070,GLQ,286,0.0,648,Fin,2006.0,1500,Gd,4045,53.0,20,5,7,1356,2006,2006
892,0.0,3.0,No,340,Rec,524,0.0,264,RFn,1966.0,892,TA,9477,66.0,0,5,5,864,1966,1966
1053,795.0,4.0,No,0,Unf,833,0.0,370,Unf,1922.0,1848,Gd,13053,64.0,0,7,6,833,1923,2000
1060,764.0,3.0,No,0,Unf,764,0.0,520,Unf,1940.0,1824,TA,13515,60.0,0,6,6,764,1919,1950
988,0.0,3.0,No,827,Rec,161,0.0,572,Unf,1963.0,988,TA,9945,66.0,0,5,5,988,1961,1961
1001,634.0,2.0,No,0,Unf,485,0.0,255,Unf,1950.0,1635,Gd,5310,59.0,0,8,6,485,1910,2003
1004,848.0,3.0,Mn,668,GLQ,336,0.0,660,Fin,1999.0,1852,Gd,9066,73.0,106,5,8,1004,1999,2000
1116,0.0,3.0,No,0,Unf,1116,0.0,440,Unf,1962.0,1116,TA,10000,87.0,0,6,6,1116,1962,1962
1844,0.0,2.0,No,976,GLQ,868,0.0,620,Fin,2005.0,1844,Gd,10994,88.0,44,5,8,1844,2005,2006
1604,0.0,3.0,No,1334,GLQ,270,0.0,660,RFn,2006.0,1604,Gd,8814,68.0,110,5,7,1604,2006,2006
860,0.0,2.0,Av,672,ALQ,168,0.0,528,Unf,1996.0,860,TA,8740,74.0,0,6,5,840,1982,1982
1575,0.0,3.0,No,430,GLQ,1145,0.0,529,RFn,1992.0,1575,Gd,8012,50.0,0,5,6,1575,1992,1992
920,866.0,3.0,Mn,486,GLQ,434,0.0,608,RFn,2001.0,1786,Gd,11250,68.0,42,5,7,920,2001,2002
767,0.0,1.0,Av,584,GLQ,0,0.0,367,Fin,1998.0,767,TA,4058,34.0,40,5,7,723,1998,1998
1040,0.0,2.0,None,0,None,0,0.0,420,Unf,1956.0,1040,TA,7200,60.0,0,5,4,0,1949,1950
923,0.0,2.0,No,543,BLQ,261,0.0,264,RFn,1980.0,923,TA,8012,50.0,0,5,6,923,1980,1980
1616,0.0,2.0,No,1180,GLQ,415,0.0,608,RFn,1995.0,1616,Gd,5389,39.0,152,5,8,1595,1995,1996
1137,817.0,3.0,No,341,BLQ,457,0.0,431,Unf,1939.0,1954,Gd,15660,66.0,119,9,7,798,1939,2006
1318,584.0,4.0,None,0,None,0,0.0,539,Unf,1978.0,1902,TA,8930,68.0,0,5,6,0,1978,1978
882,914.0,3.0,Mn,706,GLQ,88,0.0,546,RFn,1998.0,1796,TA,9531,66.0,36,5,6,794,1998,1998
1584,0.0,4.0,No,0,Unf,1584,0.0,792,Unf,1967.0,1584,TA,8944,65.0,152,5,5,1584,1967,1967
1922,0.0,3.0,Gd,1249,GLQ,673,0.0,676,Fin,2005.0,1922,Gd,14157,86.0,51,5,9,1922,2005,2006
1040,0.0,3.0,Mn,532,LwQ,364,0.0,484,Unf,1977.0,1040,Gd,8800,61.0,0,7,5,1040,1977,2008
798,842.0,3.0,No,0,Unf,798,0.0,520,RFn,2004.0,1640,Gd,8366,65.0,45,5,6,798,2004,2004
1035,371.0,3.0,No,0,Unf,319,0.0,0,None,1982.5,1406,Fa,7920,66.0,144,7,6,319,1920,1950
1265,0.0,3.0,Gd,633,ALQ,586,0.0,502,RFn,1965.0,1265,Gd,9350,85.0,92,8,5,1219,1965,1999
798,546.0,3.0,No,0,Unf,546,0.0,0,None,1982.5,1344,TA,1533,21.0,0,6,4,546,1970,2008
908,1020.0,4.0,No,0,Unf,1020,0.0,440,Unf,1910.0,1928,Fa,9142,69.0,60,8,6,1020,1910,1950
990,0.0,3.0,No,495,GLQ,495,0.0,299,Unf,1996.0,990,TA,8775,65.0,64,5,5,990,1994,1994
832,832.0,4.0,No,194,GLQ,638,0.0,528,RFn,1976.0,1664,TA,10140,78.0,28,5,7,832,1976,1976
1092,0.0,3.0,No,787,Rec,305,0.0,504,RFn,1964.0,1092,TA,8250,75.0,0,7,6,1092,1964,1964
720,0.0,2.0,No,0,Unf,624,0.0,484,Unf,2005.0,720,TA,8520,60.0,0,8,6,624,1928,2003
1026,932.0,3.0,No,0,Unf,1026,0.0,936,Fin,2005.0,1958,Gd,10625,85.0,210,5,7,1026,2005,2005
1652,0.0,2.0,Gd,1480,GLQ,120,0.0,482,Unf,2008.0,1652,Gd,5587,64.0,53,5,8,1600,2008,2008
672,0.0,2.0,None,0,None,0,0.0,0,None,1982.5,912,TA,6240,52.0,0,5,4,0,1947,1950
1097,0.0,3.0,No,338,GLQ,702,0.0,480,Unf,1986.0,1097,TA,9672,81.0,0,5,6,1040,1984,1985
2223,0.0,3.0,Gd,1880,ALQ,343,0.0,516,Fin,1973.0,2223,TA,13651,95.0,0,6,7,2223,1973,1973
520,623.0,2.0,No,0,Unf,600,0.0,480,RFn,2005.0,1223,Gd,2544,24.0,166,5,7,600,2005,2005
1445,0.0,3.0,Gd,564,Unf,563,0.0,645,RFn,1964.0,1445,TA,12095,66.0,0,6,6,1127,1964,1964
1090,0.0,2.0,No,980,ALQ,110,0.0,450,Fin,2005.0,1090,TA,7024,60.0,49,5,5,1090,2005,2006
751,611.0,3.0,Mn,0,Unf,611,0.0,502,Fin,1920.0,1362,TA,6155,60.0,0,8,6,611,1920,1999
691,807.0,3.0,No,592,ALQ,99,0.0,409,Fin,1995.0,1498,TA,13031,66.0,44,5,6,691,1995,1996
1064,703.0,2.0,No,495,GLQ,354,0.0,504,RFn,1987.0,1767,Gd,5306,44.0,35,7,7,1064,1987,1987
808,704.0,3.0,No,0,Unf,660,0.0,180,Unf,1916.0,1656,TA,10410,60.0,0,7,5,660,1916,1987
1062,887.0,3.0,No,750,GLQ,300,0.0,574,Fin,1993.0,1949,Gd,9938,80.0,90,5,7,1050,1993,1994
848,0.0,1.0,Av,659,GLQ,189,0.0,420,Fin,2003.0,848,Gd,4435,36.0,0,5,6,848,2003,2003
2392,0.0,3.0,Gd,56,GLQ,2336,0.0,968,Fin,2003.0,2392,Ex,13472,103.0,105,5,10,2392,2003,2003
1082,0.0,2.0,No,336,BLQ,746,0.0,240,Unf,1948.0,1082,TA,11664,60.0,130,5,6,1082,1948,1950
612,612.0,3.0,Av,0,Unf,612,0.0,528,RFn,2009.0,1224,Gd,3951,40.0,234,5,6,612,2009,2009
910,0.0,4.0,No,507,Rec,403,0.0,720,Unf,2000.0,1385,TA,8520,71.0,0,4,5,910,1952,1952
1146,0.0,3.0,Av,786,GLQ,82,0.0,438,Unf,2003.0,1146,Gd,9590,73.0,22,5,7,868,2003,2003
874,650.0,3.0,No,460,BLQ,414,0.0,315,Unf,1958.0,1524,TA,11344,78.0,0,5,5,874,1958,1958
764,862.0,2.0,No,567,GLQ,197,0.0,474,RFn,2003.0,1626,Gd,2268,36.0,27,5,7,764,2003,2004
979,224.0,3.0,No,185,LwQ,524,0.0,352,Unf,1950.0,1203,Gd,7015,66.0,0,4,5,709,1950,1950
1152,0.0,3.0,No,0,Unf,1092,0.0,300,Unf,1950.0,1152,Gd,14000,80.0,36,8,6,1092,1950,2004
1252,0.0,3.0,No,0,Unf,1252,0.0,528,Unf,1960.0,1252,Gd,10721,80.0,39,6,6,1252,1959,1959
980,734.0,3.0,No,394,Unf,586,0.0,496,Unf,1988.0,1714,TA,10421,80.0,66,5,7,980,1988,1988
1844,0.0,3.0,No,705,BLQ,1139,0.0,546,RFn,1977.0,1844,TA,11751,105.0,122,6,6,1844,1977,1977
1120,1120.0,6.0,None,0,None,0,0.0,528,Unf,1979.0,2240,TA,7018,64.0,0,5,5,0,1979,1979
979,871.0,3.0,No,595,GLQ,378,0.0,467,Fin,1994.0,1850,Gd,29959,66.0,98,6,7,973,1994,1994
725,754.0,4.0,No,626,ALQ,99,0.0,484,Fin,1972.0,1479,Gd,7472,66.0,32,9,7,725,1972,2004
838,0.0,2.0,Mn,210,Rec,0,0.0,275,Fin,1961.0,838,Fa,10267,55.0,0,7,6,816,1918,2000
1940,1254.0,4.0,Mn,428,BLQ,537,0.0,380,Unf,1934.0,3194,TA,12168,78.0,0,6,8,965,1934,1998
1349,0.0,3.0,No,0,Unf,1349,0.0,539,Unf,2000.0,1349,TA,8450,65.0,55,5,7,1349,2000,2001
810,0.0,3.0,No,387,ALQ,374,0.0,484,RFn,1992.0,1603,Gd,7153,65.0,124,5,6,761,1992,1992
616,495.0,3.0,Mn,236,LwQ,0,0.0,200,Unf,1941.0,1111,TA,9084,60.0,0,6,5,616,1941,1950
1094,761.0,3.0,No,0,Unf,528,0.0,512,RFn,1976.0,1855,TA,9600,80.0,100,7,6,528,1976,1994
929,929.0,5.0,No,0,Unf,755,0.0,0,None,1982.5,2229,TA,5520,92.0,198,6,6,755,1912,1950
948,0.0,3.0,No,0,Unf,948,0.0,300,Unf,1968.0,948,TA,8978,66.0,0,5,5,948,1968,1968
1298,1216.0,4.0,No,1216,LwQ,0,0.0,693,Fin,1990.0,2514,TA,11170,66.0,0,5,7,1216,1990,1991
864,0.0,2.0,No,203,Rec,661,0.0,200,Unf,1938.0,864,TA,8212,45.0,0,3,3,864,1914,1950
725,754.0,3.0,No,533,GLQ,192,0.0,475,RFn,1976.0,1479,Gd,13517,66.0,44,8,6,725,1976,2005
1166,0.0,2.0,Gd,655,GLQ,201,0.0,400,Fin,2005.0,1166,Gd,9587,59.0,0,5,7,856,2005,2005
1478,0.0,3.0,No,1270,BLQ,208,0.0,498,Unf,1960.0,1478,TA,17600,66.0,40,5,6,1478,1960,1960
1008,0.0,2.0,No,486,BLQ,522,0.0,275,Unf,1954.0,1008,TA,11425,66.0,0,6,5,1008,1954,1954
1363,0.0,2.0,No,650,BLQ,178,0.0,288,Unf,1951.0,1363,TA,14559,75.0,42,7,5,1008,1951,2000
1192,403.0,2.0,No,388,LwQ,552,0.0,240,Unf,1940.0,1595,TA,8400,60.0,0,5,6,940,1940,2000
1194,0.0,3.0,No,0,Unf,1194,0.0,312,RFn,1959.0,1194,TA,8760,73.0,0,6,6,1194,1959,1959
672,728.0,3.0,No,209,ALQ,463,0.0,440,Fin,1978.0,1400,TA,7844,74.0,0,7,6,672,1978,1978
720,0.0,2.0,No,495,Rec,225,0.0,0,None,1982.5,720,TA,7879,60.0,523,5,4,720,1920,1950
1003,0.0,3.0,Av,819,GLQ,184,0.0,588,Unf,1984.0,1003,TA,7937,37.0,0,6,6,1003,1984,1984
765,600.0,2.0,No,471,ALQ,294,0.0,440,Unf,1971.0,1365,TA,1920,24.0,36,5,5,765,1971,1971
811,576.0,3.0,No,0,Unf,811,0.0,256,Unf,1954.0,1387,Gd,6000,50.0,0,4,5,811,1954,1954
1518,0.0,1.0,Gd,1218,GLQ,300,0.0,588,RFn,2003.0,1518,Ex,12677,62.0,140,5,8,1518,2003,2004
1158,1218.0,4.0,Av,0,Unf,1158,0.0,853,RFn,2005.0,2376,Gd,14215,101.0,154,5,8,1158,2005,2006
1184,1426.0,4.0,Av,64,GLQ,1120,0.0,550,Fin,2007.0,2610,Ex,9000,75.0,364,5,8,1184,2007,2007
684,684.0,3.0,No,0,Unf,684,0.0,216,Unf,1930.0,1368,TA,3600,60.0,158,7,6,684,1910,1993
630,672.0,3.0,No,0,Unf,630,0.0,280,Unf,1991.0,1302,TA,1680,21.0,0,5,5,630,1971,1971
799,772.0,3.0,No,0,Unf,799,0.0,380,RFn,1993.0,1571,TA,7837,59.0,40,7,6,799,1993,1994
936,780.0,6.0,No,210,Unf,570,0.0,0,None,1982.5,1716,Fa,5687,55.0,184,6,5,780,1912,2000
1122,1121.0,4.0,No,700,ALQ,0,224.0,746,RFn,1990.0,2243,Gd,13474,116.0,44,5,7,700,1990,1991
884,1151.0,3.0,No,0,Unf,884,0.0,434,Fin,2001.0,2035,Gd,9505,66.0,48,5,7,884,2001,2001
1752,0.0,2.0,No,456,GLQ,1296,0.0,576,RFn,2005.0,1752,Ex,7658,61.0,82,5,9,1752,2005,2005
970,0.0,2.0,No,630,GLQ,340,0.0,624,Unf,1996.0,970,TA,8480,80.0,24,6,5,970,1963,1963
1518,1518.0,4.0,Mn,0,Unf,1107,0.0,840,Unf,1993.0,3608,Ex,22950,90.0,260,9,10,1107,1892,1993
1567,0.0,1.0,Av,1154,GLQ,366,0.0,648,Fin,2006.0,1567,Ex,3982,53.0,0,5,8,1520,2006,2006
896,896.0,4.0,No,0,Unf,896,0.0,0,None,1982.5,1792,TA,9000,60.0,45,5,5,896,1974,1974
1630,0.0,3.0,No,0,Unf,1630,0.0,451,Unf,2000.0,1630,Gd,9750,75.0,234,5,7,1630,2000,2001
768,664.0,2.0,No,0,Unf,264,0.0,360,Unf,1910.0,1432,TA,9600,60.0,0,7,5,264,1910,2002
1095,0.0,2.0,Gd,513,ALQ,75,0.0,264,Unf,1958.0,1095,TA,10382,75.0,0,5,6,588,1958,1958
1535,0.0,3.0,No,2,GLQ,1515,0.0,532,RFn,2004.0,1535,Gd,10171,70.0,0,5,7,1517,2004,2004
693,0.0,2.0,No,0,Unf,693,0.0,0,None,1982.5,693,Fa,4118,153.0,20,4,4,693,1941,1950
1114,0.0,3.0,No,646,GLQ,468,0.0,576,Unf,2004.0,1114,Gd,13695,66.0,102,5,5,1114,2004,2004
1828,0.0,3.0,Av,48,Unf,1774,0.0,774,Unf,2007.0,1828,Gd,11694,90.0,108,5,9,1822,2007,2007
729,729.0,2.0,No,419,GLQ,310,0.0,440,Unf,1999.0,1458,TA,3230,34.0,32,5,6,729,1999,1999
840,880.0,3.0,No,0,Unf,840,0.0,440,Fin,2004.0,1720,Gd,8244,62.0,48,5,7,840,2004,2004
1572,1096.0,3.0,Av,1016,GLQ,556,0.0,726,Fin,2003.0,2668,Ex,13688,110.0,0,5,9,1572,2003,2004
760,896.0,3.0,No,0,Unf,746,0.0,397,Fin,2003.0,1656,Gd,6931,60.0,128,5,7,746,2003,2004
1082,871.0,3.0,Mn,0,Unf,1082,0.0,1043,RFn,2005.0,1953,Gd,10574,85.0,50,5,8,1082,2005,2006
804,744.0,3.0,No,556,Unf,248,0.0,440,Unf,1976.0,1548,Gd,2308,24.0,0,6,6,804,1976,1976
1668,0.0,3.0,Av,370,BLQ,315,0.0,502,Fin,2003.0,1668,Gd,10635,48.0,262,5,8,1657,2003,2003
1212,0.0,3.0,No,0,Unf,1212,0.0,573,RFn,2001.0,1212,Gd,9100,70.0,0,5,7,1212,2001,2001
1327,0.0,3.0,No,405,Rec,658,0.0,624,Unf,1974.0,1327,Gd,7388,75.0,0,6,5,1063,1959,2002
1133,687.0,4.0,No,329,Rec,697,0.0,240,Unf,1925.0,1820,TA,9120,60.0,100,6,7,1026,1925,1950
778,798.0,3.0,No,0,Unf,770,0.0,614,RFn,2006.0,1576,Gd,8125,65.0,50,5,7,770,2006,2006
1150,0.0,3.0,No,179,ALQ,465,0.0,300,RFn,1959.0,1150,TA,7945,70.0,0,6,5,1150,1959,1959
932,920.0,3.0,No,822,GLQ,78,0.0,644,RFn,2009.0,1852,Gd,8640,72.0,108,5,7,900,2009,2009
790,0.0,2.0,Mn,384,Unf,384,0.0,160,Unf,1925.0,790,TA,6292,52.0,141,5,6,768,1930,1950
1663,0.0,2.0,Gd,1116,BLQ,248,0.0,529,Unf,1954.0,1663,Gd,53227,66.0,137,6,4,1364,1954,1994
909,807.0,2.0,No,0,Unf,880,0.0,512,RFn,1996.0,1716,Gd,8750,70.0,120,5,7,880,1996,1996
1405,0.0,2.0,No,0,Unf,1405,0.0,478,RFn,2003.0,1405,Gd,3136,66.0,36,5,7,1405,2003,2003
807,702.0,3.0,No,0,Unf,783,0.0,393,Fin,2003.0,1509,Gd,7875,63.0,75,5,7,783,2003,2003
1668,0.0,3.0,Av,1059,GLQ,567,0.0,702,Unf,2002.0,1668,Gd,11248,90.0,45,5,9,1626,2002,2002
796,358.0,3.0,No,735,BLQ,61,0.0,240,Unf,1922.0,1154,Gd,5436,40.0,96,8,4,796,1922,2007
1547,720.0,2.0,None,0,None,0,0.0,672,Unf,1979.0,2320,TA,14762,66.0,144,6,5,0,1948,1950
1721,0.0,3.0,No,570,Rec,891,0.0,440,RFn,1968.0,1721,TA,10335,78.0,96,6,5,1461,1968,1993
1383,0.0,3.0,No,565,Rec,818,0.0,292,Unf,1960.0,1383,TA,11600,80.0,45,5,6,1383,1960,1960
916,0.0,4.0,No,299,ALQ,611,0.0,164,Unf,1915.0,1826,Ex,2500,50.0,0,8,7,910,1915,2005
1094,0.0,3.0,Mn,500,Rec,594,0.0,495,Unf,1953.0,1094,TA,10452,85.0,0,5,6,1094,1953,1953
1800,0.0,2.0,No,0,Unf,1800,0.0,702,Fin,2007.0,1800,Ex,11923,122.0,136,5,9,1800,2007,2007
1062,0.0,3.0,Av,539,ALQ,490,0.0,539,RFn,1976.0,1062,TA,11333,66.0,0,5,6,1029,1976,1976
864,0.0,3.0,No,600,BLQ,264,0.0,576,Unf,1980.0,864,TA,12735,66.0,0,5,4,864,1972,1972
856,854.0,3.0,No,706,GLQ,150,0.0,548,RFn,2003.0,1710,Gd,8450,65.0,61,5,7,856,2003,2003
4692,950.0,3.0,Gd,5644,GLQ,466,0.0,1418,Fin,2008.0,5642,Ex,63887,313.0,292,5,10,6110,2008,2008
561,668.0,2.0,No,285,ALQ,276,0.0,462,Fin,1980.0,1229,TA,1300,24.0,0,6,6,561,1980,1980
1836,0.0,3.0,No,24,GLQ,1836,0.0,484,Fin,2004.0,1836,Gd,9100,70.0,33,5,7,1860,2004,2005
1675,1818.0,3.0,No,0,Unf,1470,0.0,870,Unf,2003.0,3493,Gd,18386,87.0,0,9,7,1470,1880,2002
912,0.0,2.0,Av,773,GLQ,115,0.0,470,RFn,1978.0,912,TA,7540,66.0,0,6,6,888,1978,1978
1734,0.0,3.0,No,1004,GLQ,730,0.0,928,Unf,2007.0,1734,Ex,12085,93.0,0,5,8,1734,2007,2007
1414,0.0,3.0,Av,24,GLQ,1390,0.0,494,RFn,2004.0,1414,Gd,8773,65.0,105,5,7,1414,2004,2004
796,0.0,2.0,No,0,Unf,796,0.0,0,Unf,1982.5,796,TA,3636,40.0,0,4,4,796,1922,1950
1339,0.0,3.0,No,504,LwQ,525,0.0,294,Unf,1958.0,1339,TA,7560,70.0,0,6,5,1029,1958,1965
774,1194.0,4.0,No,0,Unf,774,0.0,680,Fin,2009.0,1968,Ex,12003,92.0,75,5,8,774,2009,2010
630,0.0,1.0,Av,509,GLQ,121,0.0,286,Unf,1970.0,630,TA,1477,21.0,0,4,4,630,1970,1970
894,0.0,3.0,No,702,BLQ,192,0.0,450,RFn,1967.0,894,Gd,9764,57.0,0,7,5,894,1967,2003
960,780.0,3.0,No,410,BLQ,390,0.0,240,Unf,1940.0,1740,TA,13125,75.0,0,6,7,800,1940,1984
864,0.0,3.0,Av,390,ALQ,474,0.0,352,Unf,1989.0,864,TA,7180,60.0,0,7,5,864,1972,1972
1507,0.0,4.0,No,666,ALQ,409,0.0,404,Unf,1960.0,1507,TA,7910,70.0,0,5,5,1075,1960,1960
1057,0.0,3.0,No,417,Rec,640,0.0,576,Fin,1977.0,1057,TA,7420,70.0,0,5,5,1057,1962,1962
1091,898.0,3.0,Mn,932,GLQ,133,0.0,586,Fin,2002.0,1989,Gd,11367,90.0,60,5,8,1065,2002,2002
1194,0.0,3.0,Mn,655,ALQ,0,0.0,539,Fin,1954.0,1194,TA,8910,79.0,0,6,6,655,1959,1959
912,514.0,3.0,No,0,Unf,912,0.0,216,Unf,1925.0,1426,Gd,7642,55.0,240,8,7,912,1918,1998
1576,978.0,3.0,No,0,Unf,718,0.0,704,Unf,1996.0,2554,TA,10800,60.0,48,8,7,718,1890,1998
520,600.0,2.0,No,0,Unf,600,0.0,480,RFn,2005.0,1200,Gd,3180,30.0,166,5,7,600,2005,2005
824,1070.0,4.0,No,624,GLQ,193,0.0,510,Unf,2002.0,1894,Gd,11316,80.0,40,5,7,817,2002,2003
773,582.0,3.0,No,0,Unf,684,0.0,0,None,1982.5,1355,Gd,6882,60.0,0,7,6,684,1914,2006
1138,0.0,3.0,Av,507,GLQ,81,0.0,264,Unf,1958.0,1138,TA,10482,65.0,0,8,6,588,1958,1958
960,0.0,3.0,Av,789,ALQ,171,0.0,576,Unf,1970.0,960,TA,9873,60.0,288,5,4,960,1970,1970
1402,0.0,2.0,Av,0,Unf,1258,0.0,648,Fin,2006.0,1402,Gd,3922,53.0,16,5,7,1258,2006,2007
1055,790.0,3.0,No,0,Unf,1055,0.0,462,RFn,1992.0,1845,Gd,11218,70.0,104,5,6,1055,1992,1992
888,868.0,3.0,No,742,ALQ,130,0.0,422,Fin,1996.0,1756,TA,9303,66.0,122,5,6,872,1996,1997
